Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1961","1961","No","5514000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1962","1962","No","5506000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1963","1963","No","5528000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1964","1964","No","5601000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1965","1965","No","4718000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1966","1966","No","4646000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1967","1967","No","4635000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1968","1968","No","4539000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1969","1969","No","4433000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1970","1970","No","4634000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1971","1971","No","4107000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1972","1972","No","4085000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1973","1973","No","4124000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1974","1974","No","4210000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1975","1975","No","4206000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1976","1976","No","4269000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1977","1977","No","4323000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1978","1978","No","4090000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1979","1979","No","4163000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1980","1980","No","4141000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1981","1981","No","4213000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1982","1982","No","4250000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1983","1983","No","4275000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1984","1984","No","4300000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1985","1985","No","4325000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1986","1986","No","3205000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1987","1987","No","3190000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1988","1988","No","3219000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1989","1989","No","3443000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1990","1990","No","3210000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1991","1991","No","3211000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1992","1992","No","3045000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1993","1993","No","2875000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1994","1994","No","2783000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1995","1995","No","2655000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1996","1996","No","2581000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1997","1997","No","2631000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1998","1998","No","2637000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","1999","1999","No","2652000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","2000","2000","No","2622000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","2001","2001","No","2550000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","2002","2002","No","2574000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","2003","2003","No","2599000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","2004","2004","No","2554000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","2005","2005","No","2409000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","2006","2006","No","2394000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","2007","2007","No","2443000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","2008","2008","No","2342000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","2009","2009","No","2498000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","2010","2010","No","2692000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","2011","2011","No","2491000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","2012","2012","No","2539000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","2013","2013","No","2640000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","2014","2014","No","2740000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","2015","2015","No","2660000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","2016","2016","No","2775000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","2017","2017","No","2684000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","2018","2018","No","2828000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","2019","2019","No","2812000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5114","Stocks","02196","Bees","2020","2020","No","2706000","A","Official figure"
